ordine	data	ora	altezza	temperatura	lido	ventoMS	ventomax	dirventoGN
551	15/11/19	23.664	1.14	13.8	1.15	2.5	3	291
552	15/11/19	23.830	1.15	13.9	1.14	1.4	1.7	308
553	16/11/19	00.000	1.15	13.8	1.09	0.8	1.4	0
554	16/11/19	00.166	1.14	13.8	1.16	1.7	2.5	297
555	16/11/19	00.333	1.15	13.9	1.16	2.5	4	243
556	16/11/19	00.498	1.15	13.9	1.1	1.6	2.3	333
557	16/11/19	00.664	1.14	13.9	1.11	1.9	2.7	20
558	16/11/19	00.830	1.12	13.9	1.06	1.5	2.1	358
559	16/11/19	01.000	1.12	13.8	1.01	1.5	1.8	11
560	16/11/19	01.166	1.1	13.8	1.02	1.3	2.1	2
561	16/11/19	01.333	1.09	13.8	0.98	1.9	2	357
562	16/11/19	01.498	1.06	13.8	1	1.8	2.1	6
563	16/11/19	01.664	1.04	13.8	0.94	2.1	2.4	11
564	16/11/19	01.830	1.01	13.8	0.91	2.1	2.6	5
565	16/11/19	02.000	0.99	13.8	0.9	1.7	2.1	6
566	16/11/19	02.166	0.97	13.8	0.89	2	2.2	49
567	16/11/19	02.333	0.94	13.8	0.88	1.6	1.8	34
568	16/11/19	02.498	0.92	13.8	0.87	1.6	1.8	359
569	16/11/19	02.664	0.91	13.8	0.86	1	1.2	52
570	16/11/19	02.830	0.89	13.8	0.85	1.2	1.4	77
571	16/11/19	03.000	0.88	13.8	0.84	1.4	1.9	86
572	16/11/19	03.166	0.85	13.7	0.86	1.7	2.7	107
573	16/11/19	03.333	0.85	13.7	0.85	2.4	3	113
574	16/11/19	03.498	0.84	13.6	0.81	3	3.5	106
575	16/11/19	03.664	0.82	13.6	0.8	3.6	4.1	108
576	16/11/19	03.830	0.81	13.6	0.74	4	4.8	101
577	16/11/19	04.000	0.8	13.6	0.73	5.3	6.7	107
578	16/11/19	04.166	0.79	13.5	0.69	5.7	6.2	101
579	16/11/19	04.333	0.77	13.5	0.63	5.1	5.8	96
580	16/11/19	04.498	0.74	13.5	0.59	5.2	6.2	95
581	16/11/19	04.664	0.71	13.5	0.62	5.7	6.4	98
582	16/11/19	04.830	0.68	13.5	0.63	5.5	6.2	93
583	16/11/19	05.000	0.67	13.5	0.6	5.7	6.7	107
584	16/11/19	05.166	0.65	13.4	0.63	5.7	6.4	112
585	16/11/19	05.333	0.64	13.4	0.61	5.5	6.1	110
586	16/11/19	05.498	0.62	13.4	0.62	5.3	6.3	118
587	16/11/19	05.664	0.61	13.4	0.67	5.5	6.2	132
588	16/11/19	05.830	0.61	13.4	0.71	4.9	5.6	145
589	16/11/19	06.000	0.62	13.4	0.69	3.8	4.1	154
590	16/11/19	06.166	0.63	13.4	0.71	5	9	204
591	16/11/19	06.333	0.64	13.4	0.68	7.3	10.7	208
592	16/11/19	06.498	0.64	13.5	0.73	8.2	10.1	244
593	16/11/19	06.664	0.64	13.5	0.71	7	8.8	232
594	16/11/19	06.830	0.66	13.6	0.7	7.9	8.9	230
595	16/11/19	07.000	0.66	13.6	0.72	8.2	10.1	234
596	16/11/19	07.166	0.67	13.6	0.73	9.8	11.4	236
597	16/11/19	07.333	0.68	13.6	0.71	9.5	10.9	244
598	16/11/19	07.498	0.67	13.6	0.73	8.4	9	238
599	16/11/19	07.664	0.68	13.6	0.72	8	9	243
600	16/11/19	07.830	0.7	13.6	0.76	8.6	9.8	244
601	16/11/19	08.000	0.71	13.6	0.8	8.4	10.3	241
602	16/11/19	08.166	0.72	13.6	0.82	8.1	9.1	240
603	16/11/19	08.333	0.73	13.6	0.85	7.4	8.2	246
604	16/11/19	08.498	0.74	13.6	0.86	6.4	7.1	254
605	16/11/19	08.664	0.77	13.6	0.85	6.1	7.7	260
606	16/11/19	08.830	0.78	13.6	0.91	5.5	6.2	259
607	16/11/19	09.000	0.8	13.6	0.93	5.6	6.2	256
608	16/11/19	09.166	0.82	13.6	0.93	5.4	6.7	252
609	16/11/19	09.333	0.85	13.6	0.95	5.5	5.8	262
610	16/11/19	09.498	0.86	13.6	0.95	5.8	6.7	280
611	16/11/19	09.664	0.88	13.6	0.93	5.4	5.8	302
612	16/11/19	09.830	0.9	13.6	0.93	5.1	5.3	312
613	16/11/19	10.000	0.9	13.6	0.97	4.1	4.7	311
614	16/11/19	10.166	0.91	13.6	0.96	3.8	4	313
615	16/11/19	10.333	0.93	13.6	1	3.3	4	322
616	16/11/19	10.498	0.94	13.7	1.03	3	4.2	311
617	16/11/19	10.664	0.96	13.7	0.97	2.9	3.5	314
618	16/11/19	10.830	0.96	13.7	0.96	3.6	4.3	313
619	16/11/19	11.000	0.96	13.7	0.97	3.9	4.4	321
620	16/11/19	11.166	0.96	13.7	0.96	2.8	3.4	332
621	16/11/19	11.333	0.97	13.7	0.92	2.7	3	324
622	16/11/19	11.498	0.97	13.7	0.9	2	2.7	358
623	16/11/19	11.664	0.96	13.7	0.9	1.6	1.8	347
624	16/11/19	11.830	0.95	13.8	0.87	1.3	1.5	33
625	16/11/19	12.000	0.94	13.7	0.85	1.6	2.3	56
626	16/11/19	12.166	0.93	13.7	0.86	1.9	2.3	52
627	16/11/19	12.333	0.91	13.7	0.85	1.3	1.6	354
628	16/11/19	12.498	0.9	13.7	0.82	1.6	2.3	25
629	16/11/19	12.664	0.88	13.7	0.79	2.4	3.5	52
630	16/11/19	12.830	0.85	13.7	0.75	2.7	3.2	54
631	16/11/19	13.000	0.83	13.7	0.74	2.4	2.8	61
632	16/11/19	13.166	0.81	13.7	0.72	2.6	3.1	59
633	16/11/19	13.333	0.79	13.7	0.69	2.6	3	61
634	16/11/19	13.498	0.77	13.7	0.65	2.6	2.9	63
635	16/11/19	13.664	0.75	13.7	0.62	2.4	3	69
636	16/11/19	13.830	0.72	13.7	0.62	2.9	3.4	66
637	16/11/19	14.000	0.69	13.7	0.6	2.9	3.4	69
638	16/11/19	14.166	0.67	13.7	0.55	2.8	3.3	62
639	16/11/19	14.333	0.65	13.7	0.49	2.6	3.3	68
640	16/11/19	14.498	0.61	13.6	0.48	2.7	2.9	64
641	16/11/19	14.664	0.59	13.6	0.47	2.7	3.1	33
642	16/11/19	14.830	0.56	13.6	0.45	2.8	3.5	26
643	16/11/19	15.000	0.53	13.6	0.41	2.6	3.1	20
644	16/11/19	15.166	0.51	13.6	0.35	3.1	4	2
645	16/11/19	15.333	0.48	13.5	0.37	3.7	4.5	349
646	16/11/19	15.498	0.45	13.5	0.36	3.7	4.3	12
647	16/11/19	15.664	0.43	13.5	0.33	3.2	3.6	33
648	16/11/19	15.830	0.43	13.5	0.35	3.7	4.8	48
649	16/11/19	16.000	0.38	13.4	0.31	4	4.4	48
650	16/11/19	16.166	0.36	13.4	0.26	3.8	4.2	35
651	16/11/19	16.333	0.35	13.4	0.27	3.8	4.7	30
652	16/11/19	16.498	0.32	13.3	0.24	3.9	4.4	24
653	16/11/19	16.664	0.31	13.3	0.2	3.4	4	30
654	16/11/19	16.830	0.28	13.3	0.2	3.5	4.2	35
655	16/11/19	17.000	0.26	13.3	0.23	3.4	4.1	37
656	16/11/19	17.166	0.24	13.2	0.25	4.2	5.2	37
657	16/11/19	17.333	0.23	13.2	0.24	4.1	4.7	35
658	16/11/19	17.498	0.23	13.2	0.22	4.2	4.9	34
659	16/11/19	17.664	0.21	13.2	0.22	4.3	5	36
660	16/11/19	17.830	0.2	13.1	0.24	4.6	5.2	43
661	16/11/19	18.000	0.19	13.1	0.27	4.8	5.6	54
662	16/11/19	18.166	0.19	13.1	0.27	4.8	5.3	56
663	16/11/19	18.333	0.2	13.2	0.28	4	4.6	33
664	16/11/19	18.498	0.2	13.2	0.3	3.5	4.1	34
665	16/11/19	18.664	0.21	13.3	0.32	3.8	4.7	33
666	16/11/19	18.830	0.22	13.3	0.36	4.1	4.7	39
667	16/11/19	19.000	0.24	13.2	0.35	4.5	5.5	48
668	16/11/19	19.166	0.26	13.3	0.3	5	5.6	46
669	16/11/19	19.333	0.26	13.3	0.35	4.9	5.5	45
670	16/11/19	19.498	0.27	13.3	0.4	4.5	5.1	45
671	16/11/19	19.664	0.29	13.4	0.42	5.2	6.2	50
672	16/11/19	19.830	0.31	13.4	0.47	5.6	6.5	47
673	16/11/19	20.000	0.35	13.4	0.42	4.6	5.1	44
674	16/11/19	20.166	0.37	13.3	0.39	4.3	5.3	59
675	16/11/19	20.333	0.37	13.3	0.47	5.4	6.8	60
676	16/11/19	20.498	0.39	13.3	0.51	5.9	6.6	56
677	16/11/19	20.664	0.4	13.3	0.55	5.3	5.9	54
678	16/11/19	20.830	0.43	13.3	0.57	6	8.3	56
679	16/11/19	21.000	0.46	13.3	0.59	6.8	7.7	49
680	16/11/19	21.166	0.48	13.3	0.58	5.7	6.3	40
681	16/11/19	21.333	0.5	13.4	0.59	6.5	8.6	31
682	16/11/19	21.498	0.52	13.3	0.61	7.7	9.3	42
683	16/11/19	21.664	0.53	13.2	0.67	8.4	10.1	42
684	16/11/19	21.830	0.57	13.1	0.65	7.4	8.7	35
685	16/11/19	22.000	0.58	13.1	0.7	6.9	8.2	42
686	16/11/19	22.166	0.6	13.1	0.73	6.5	8.1	41
687	16/11/19	22.333	0.62	13.2	0.73	7.1	8.6	35
688	16/11/19	22.498	0.65	13.1	0.74	6.6	7.6	39
689	16/11/19	22.664	0.67	13.2	0.78	6.7	9.2	45
690	16/11/19	22.830	0.68	13.2	0.81	6.8	7.7	39
691	16/11/19	23.000	0.7	13.2	0.8	6.9	9	32
692	16/11/19	23.166	0.73	13.3	0.8	6.4	7.6	32
693	16/11/19	23.333	0.73	13.3	0.83	7.1	9.7	36
694	16/11/19	23.498	0.76	13.3	0.84	7.3	8.8	27
695	16/11/19	23.664	0.77	13.3	0.84	8.8	13.4	26
696	16/11/19	23.830	0.79	13.3	0.89	10.6	13.1	27
697	17/11/19	00.000	0.79	13.2	0.95	10.8	13.6	26
698	17/11/19	00.166	0.81	13.3	0.94	8.9	10.6	23
699	17/11/19	00.333	0.83	13.2	0.9	9.1	11.1	26
700	17/11/19	00.498	0.83	13.2	0.92	10.4	13.8	22
701	17/11/19	00.664	0.85	13.3	0.89	10.6	13.9	31
702	17/11/19	00.830	0.84	13.3	0.89	11.1	14.2	32
703	17/11/19	01.000	0.85	13.3	0.93	10.8	14.2	35
704	17/11/19	01.166	0.87	13.4	0.95	11.4	13.9	36
705	17/11/19	01.333	0.88	13.5	0.93	11.1	13	36
706	17/11/19	01.498	0.88	13.9	0.97	11.1	13.6	34
707	17/11/19	01.664	0.89	13.8	0.98	11.3	14.2	33
708	17/11/19	01.830	0.9	13.8	1	11.2	12.4	36
709	17/11/19	02.000	0.91	13.9	1	9.2	10.9	42
710	17/11/19	02.166	0.92	14.1	1.05	12	15.3	38
711	17/11/19	02.333	0.94	14.1	1.03	12.3	14.6	42
712	17/11/19	02.498	0.96	14.3	1.05	12.3	14.8	40
713	17/11/19	02.664	0.96	14.3	1.07	10.9	12.7	39
714	17/11/19	02.830	0.98	14.1	1.05	9.9	12	42
715	17/11/19	03.000	1	14.2	1.05	10.4	12	41
716	17/11/19	03.166	1.01	14.5	1.05	7.9	8.9	42
717	17/11/19	03.333	1.02	14.6	1.06	6.4	7.5	45
718	17/11/19	03.498	1.03	14.7	1.04	4.8	5.3	41
719	17/11/19	03.664	1.02	14.7	1.03	5.6	13.2	139
720	17/11/19	03.830	1.02	14.6	1.02	11.4	14.1	173
721	17/11/19	04.000	1.05	14.7	1.05	11.4	13.9	174
722	17/11/19	04.166	1.05	14.7	1.05	10	11.2	180
723	17/11/19	04.333	1.06	14.7	1.04	9.2	10.3	191
724	17/11/19	04.498	1.05	14.7	1.05	9	10	191
725	17/11/19	04.664	1.05	14.7	1.05	6.7	6.5	171
726	17/11/19	04.830	1.05	14.6	0.99	5.6	6.2	133
727	17/11/19	05.000	1.04	14.6	0.9	5	5.7	159
728	17/11/19	05.166	1.01	14.6	0.88	4.6	5.7	191
729	17/11/19	05.333	0.99	14.6	0.9	4.9	5.5	245
730	17/11/19	05.498	0.95	14.6	0.94	4.1	4.9	252
731	17/11/19	05.664	0.94	14.5	0.97	4.4	6	241
732	17/11/19	05.830	0.94	14.5	1	4.7	6.1	233
733	17/11/19	06.000	0.94	14.5	0.99	4.4	5.1	232
734	17/11/19	06.166	0.93	14.5	0.97	5.6	6.2	258
735	17/11/19	06.333	0.92	14.5	0.93	3.7	3.5	282
736	17/11/19	06.498	0.9	14.5	0.95	2.9	3	321
737	17/11/19	06.664	0.9	14.4	0.93	3.4	4.8	355
738	17/11/19	06.830	0.9	14.3	0.93	4.8	5.8	26
739	17/11/19	07.000	0.89	14.2	0.92	4.7	5.3	32
740	17/11/19	07.166	0.89	14.1	0.96	3.6	4.4	42
741	17/11/19	07.333	0.88	14.1	1.02	3.9	5.2	42
742	17/11/19	07.498	0.89	14	1.06	3.6	4.1	50
743	17/11/19	07.664	0.9	14	1.09	3	3.2	40
744	17/11/19	07.830	0.92	13.9	1.1	3.7	5.3	42
745	17/11/19	08.000	0.94	14	1.12	4.5	5	52
746	17/11/19	08.166	0.97	14.4	1.14	4	5.8	62
747	17/11/19	08.333	1	14.5	1.17	2.3	2.9	276
748	17/11/19	08.498	1.06	14.5	1.22	4.6	13.1	277
749	17/11/19	08.664	1.1	14.5	1.23	8.5	12.9	278
750	17/11/19	08.830	1.12	14.6	1.2	7.9	8.9	299
751	17/11/19	09.000	1.11	14.5	1.21	6.6	8.4	303
752	17/11/19	09.166	1.12	14.5	1.21	7.1	7.9	313
753	17/11/19	09.333	1.14	14.5	1.28	6.9	8.4	323
754	17/11/19	09.498	1.15	14.6	1.27	6.9	8	333
755	17/11/19	09.664	1.17	14.5	1.25	6.2	7.7	350
756	17/11/19	09.830	1.17	14.5	1.29	6.7	8.4	8
757	17/11/19	10.000	1.17	14.5	1.33	5.8	7.5	11
758	17/11/19	10.166	1.19	14.5	1.33	6	6.7	23
759	17/11/19	10.333	1.22	14.6	1.36	5	5.6	40
760	17/11/19	10.498	1.23	14.6	1.43	4.8	5.4	36
761	17/11/19	10.664	1.27	14.6	1.43	4.9	5.8	43
762	17/11/19	10.830	1.28	14.6	1.45	4.8	5.6	45
763	17/11/19	11.000	1.31	14.6	1.46	4.8	6.3	62
764	17/11/19	11.166	1.34	14.6	1.4	5.9	7.1	64
765	17/11/19	11.333	1.37	14.7	1.38	6.1	6.8	75
766	17/11/19	11.498	1.36	14.7	1.4	5.4	6.3	71
767	17/11/19	11.664	1.38	14.7	1.45	5.1	5.9	76
768	17/11/19	11.830	1.39	14.7	1.43	4.9	5.7	90
769	17/11/19	12.000	1.41	14.7	1.46	4.7	5.2	100
770	17/11/19	12.166	1.42	14.7	1.45	4.5	6	116
771	17/11/19	12.333	1.44	14.7	1.49	8.9	11.2	134
772	17/11/19	12.498	1.43	14.7	1.51	8.7	14.5	146
773	17/11/19	12.664	1.45	14.7	1.53	14.2	17.5	156
774	17/11/19	12.830	1.48	14.7	1.53	13.9	17	156
775	17/11/19	13.000	1.49	14.7	1.44	14.6	16.7	157
776	17/11/19	13.166	1.5	14.7	1.35	14.5	15.5	150
777	17/11/19	13.333	1.48	14.7	1.29	12.7	14.9	149
778	17/11/19	13.498	1.47	14.7	1.36	12.6	15	156
779	17/11/19	13.664	1.47	14.7	1.26	13.4	16.1	150
780	17/11/19	13.830	1.45	14.7	1.21	12.4	14.9	155
781	17/11/19	14.000	1.41	14.7	1.18	11.7	14.3	158
782	17/11/19	14.166	1.37	14.7	1.19	11.5	13.5	158
783	17/11/19	14.333	1.34	14.7	1.22	10.1	11.8	155
784	17/11/19	14.498	1.31	14.7	1.26	10.8	13	161
785	17/11/19	14.664	1.3	14.7	1.16	10.4	12	158
786	17/11/19	14.830	1.28	14.7	1.18	10	10.9	162
787	17/11/19	15.000	1.24	14.7	1.15	9.7	11.2	162
788	17/11/19	15.166	1.22	14.7	1.09	10.2	11.9	165
789	17/11/19	15.333	1.2	14.7	1.1	10.5	12.3	167
790	17/11/19	15.498	1.16	14.6	1.02	9.2	10.6	168
791	17/11/19	15.664	1.15	14.6	1.07	8.9	10.2	172
792	17/11/19	15.830	1.12	14.6	1.05	8.5	9.4	180
793	17/11/19	16.000	1.11	14.5	0.99	7.7	8.8	187
794	17/11/19	16.166	1.07	14.5	0.94	7.7	9.3	188
795	17/11/19	16.333	1.04	14.5	0.86	7.6	8.8	194
796	17/11/19	16.498	1.01	14.4	0.75	8.1	10.8	200
797	17/11/19	16.664	0.96	14.4	0.72	7.7	9.6	218
798	17/11/19	16.830	0.93	14.3	0.69	6.4	6.9	223
799	17/11/19	17.000	0.88	14.3	0.66	5.3	5.8	232
800	17/11/19	17.166	0.85	14.2	0.71	4.6	5.5	219
801	17/11/19	17.333	0.83	14.1	0.73	4.3	5	217
802	17/11/19	17.498	0.8	14	0.69	3.7	4.4	220
803	17/11/19	17.664	0.79	13.9	0.67	3.3	3.7	226
804	17/11/19	17.830	0.76	13.8	0.63	4.2	5.8	231
805	17/11/19	18.000	0.74	13.7	0.59	4.7	5.4	237
806	17/11/19	18.166	0.69	13.7	0.53	3.7	4	239
807	17/11/19	18.333	0.68	13.6	0.55	3.7	4.5	242
808	17/11/19	18.498	0.66	13.6	0.55	5.6	7.8	241
809	17/11/19	18.664	0.64	13.6	0.54	7.9	9.7	261
810	17/11/19	18.830	0.62	13.5	0.53	8.4	9.6	264
811	17/11/19	19.000	0.59	13.5	0.53	8.6	9.9	272
812	17/11/19	19.166	0.56	13.5	0.52	8.5	9	277
813	17/11/19	19.333	0.55	13.5	0.52	7.7	8.8	272
814	17/11/19	19.498	0.53	13.5	0.5	7.7	9	273
815	17/11/19	19.664	0.53	13.4	0.47	8.1	9.7	274
816	17/11/19	19.830	0.5	13.4	0.49	8	9.2	278
817	17/11/19	20.000	0.49	13.4	0.51	7.6	9.3	280
818	17/11/19	20.166	0.48	13.4	0.48	7.1	8.7	275
819	17/11/19	20.333	0.47	13.4	0.5	6	7.1	272
820	17/11/19	20.498	0.46	13.4	0.49	6.5	7.8	275
821	17/11/19	20.664	0.45	13.4	0.5	6.4	7.1	273
822	17/11/19	20.830	0.45	13.4	0.45	6	6.4	278
823	17/11/19	21.000	0.45	13.4	0.4	5.5	6	274
824	17/11/19	21.166	0.43	13.5	0.4	5.2	5.9	266
825	17/11/19	21.333	0.41	13.5	0.47	4.6	5.5	263
826	17/11/19	21.498	0.41	13.5	0.46	4.1	4.7	262
827	17/11/19	21.664	0.42	13.5	0.5	4.2	5.1	263
828	17/11/19	21.830	0.41	13.5	0.46	5.3	6.3	259
829	17/11/19	22.000	0.41	13.5	0.46	5.7	6.6	261
830	17/11/19	22.166	0.4	13.5	0.49	5.6	7	258
831	17/11/19	22.333	0.4	13.5	0.55	5.9	6.4	240
832	17/11/19	22.498	0.43	13.4	0.54	6.4	7.7	234
833	17/11/19	22.664	0.45	13.5	0.56	6.6	7.3	225
834	17/11/19	22.830	0.46	13.7	0.54	6.3	7	223
835	17/11/19	23.000	0.47	13.9	0.56	5.8	5.9	218
836	17/11/19	23.166	0.47	13.9	0.6	5.4	5.8	210
837	17/11/19	23.333	0.5	13.9	0.62	5.2	6.1	216
838	17/11/19	23.498	0.52	13.9	0.66	5.2	5.5	213
839	17/11/19	23.664	0.55	13.8	0.62	4.9	5.4	216
840	17/11/19	23.830	0.57	13.8	0.57	5.5	6.4	217
841	18/11/19	00.000	0.58	13.7	0.56	6.6	7.2	222
842	18/11/19	00.166	0.58	13.6	0.61	6.4	7.3	218
843	18/11/19	00.333	0.59	13.6	0.66	6.5	7.3	223
844	18/11/19	00.498	0.62	13.7	0.67	6.3	6.9	229
845	18/11/19	00.664	0.63	13.7	0.68	6	7.4	230
846	18/11/19	00.830	0.65	13.7	0.69	7	7.8	224
847	18/11/19	01.000	0.65	13.7	0.69	6.8	7.3	230
848	18/11/19	01.166	0.65	13.8	0.73	6.7	7.8	224
849	18/11/19	01.333	0.67	13.9	0.74	6.6	7.3	220
850	18/11/19	01.498	0.69	13.9	0.74	6.2	6.7	224
851	18/11/19	01.664	0.71	13.9	0.78	5.1	5.8	232
852	18/11/19	01.830	0.72	13.9	0.78	5.4	6.1	230
853	18/11/19	02.000	0.73	14	0.78	4.7	5.2	229
854	18/11/19	02.166	0.74	14	0.81	4.7	5.4	235
855	18/11/19	02.333	0.76	14	0.77	4.4	5.1	236
856	18/11/19	02.498	0.77	13.9	0.74	4.6	5.8	234
857	18/11/19	02.664	0.77	13.9	0.71	5.3	5.9	242
858	18/11/19	02.830	0.77	13.8	0.72	4.4	5.2	243
859	18/11/19	03.000	0.77	13.7	0.72	6.1	7.2	244
860	18/11/19	03.166	0.77	13.7	0.69	5.7	6.3	238
861	18/11/19	03.333	0.76	13.6	0.72	5.8	6.8	229
862	18/11/19	03.498	0.75	13.6	0.73	5.3	6.3	224
863	18/11/19	03.664	0.75	13.7	0.72	5.6	6.3	233
864	18/11/19	03.830	0.73	13.8	0.7	5.7	6	249



